AD,ED,borough_code,borough,ed_uid,neighborhood
76,052,MN,Manhattan,MN-AD76-ED052,Yorkville
76,053,MN,Manhattan,MN-AD76-ED053,Yorkville
76,054,MN,Manhattan,MN-AD76-ED054,Yorkville
76,055,MN,Manhattan,MN-AD76-ED055,Yorkville
76,056,MN,Manhattan,MN-AD76-ED056,Upper East Side
76,057,MN,Manhattan,MN-AD76-ED057,Yorkville
76,058,MN,Manhattan,MN-AD76-ED058,Yorkville
76,059,MN,Manhattan,MN-AD76-ED059,Roosevelt Island
76,060,MN,Manhattan,MN-AD76-ED060,Roosevelt Island
76,061,MN,Manhattan,MN-AD76-ED061,Roosevelt Island
76,062,MN,Manhattan,MN-AD76-ED062,Roosevelt Island
76,063,MN,Manhattan,MN-AD76-ED063,Manhattan
76,064,MN,Manhattan,MN-AD76-ED064,Manhattan
76,065,MN,Manhattan,MN-AD76-ED065,Manhattan
76,066,MN,Manhattan,MN-AD76-ED066,Manhattan
76,067,MN,Manhattan,MN-AD76-ED067,Manhattan
76,068,MN,Manhattan,MN-AD76-ED068,Manhattan
77,001,BX,Bronx,BX-AD77-ED001,Highbridge
77,002,BX,Bronx,BX-AD77-ED002,Highbridge
77,003,BX,Bronx,BX-AD77-ED003,Highbridge
77,004,BX,Bronx,BX-AD77-ED004,Concourse
77,005,BX,Bronx,BX-AD77-ED005,Highbridge
77,006,BX,Bronx,BX-AD77-ED006,Highbridge
77,007,BX,Bronx,BX-AD77-ED007,Highbridge
77,008,BX,Bronx,BX-AD77-ED008,Highbridge
77,009,BX,Bronx,BX-AD77-ED009,Highbridge
77,010,BX,Bronx,BX-AD77-ED010,Highbridge
77,011,BX,Bronx,BX-AD77-ED011,Mount Eden
77,012,BX,Bronx,BX-AD77-ED012,Mount Eden
77,013,BX,Bronx,BX-AD77-ED013,Morris Heights
77,014,BX,Bronx,BX-AD77-ED014,Morris Heights
77,015,BX,Bronx,BX-AD77-ED015,Morris Heights
77,016,BX,Bronx,BX-AD77-ED016,Mount Eden
77,017,BX,Bronx,BX-AD77-ED017,Morris Heights
77,018,BX,Bronx,BX-AD77-ED018,Morris Heights
77,019,BX,Bronx,BX-AD77-ED019,Morris Heights
77,020,BX,Bronx,BX-AD77-ED020,University Heights
77,021,BX,Bronx,BX-AD77-ED021,Mount Hope
77,022,BX,Bronx,BX-AD77-ED022,Mount Hope
77,023,BX,Bronx,BX-AD77-ED023,Mount Hope
77,024,BX,Bronx,BX-AD77-ED024,Morris Heights
77,025,BX,Bronx,BX-AD77-ED025,Morris Heights
