ED,AD,borough,neighborhood,ev25_total,ev_rate,ev_weight,ev_party_dem,ev_party_rep,ev_party_oth
31,53,BK,East Williamsburg,198,0.15,0.0002704020386674915,0.9141414141414141,0.005050505050505051,0.005050505050505051
26,48,BK,Ocean Parkway,433,0.27,0.0005913337512273931,0.6535796766743649,0.22632794457274827,0.011547344110854504
18,72,MN,Inwood,171,0.15,0.00023352903339465177,0.8596491228070176,0.04678362573099415,0.023391812865497075
14,33,QN,Queens Village,175,0.11,0.0002389917008424799,0.6971428571428572,0.10857142857142857,0.022857142857142857
17,86,BX,Fordham,22,0.02,3.0044670963054613e-05,0.8181818181818182,0.09090909090909091,0.0
54,80,BX,Norwood,61,0.03,8.33056785793787e-05,0.9180327868852459,0.03278688524590164,0.0
25,37,QN,Sunnyside,147,0.12,0.00020075302870768312,0.8163265306122449,0.027210884353741496,0.02040816326530612
20,36,QN,Astoria,382,0.2,0.0005216847412675847,0.8664921465968587,0.03664921465968586,0.002617801047120419
37,42,BK,Flatbush,236,0.14,0.0003222973794218586,0.9152542372881356,0.00847457627118644,0.0
6,62,SI,Tottenville,330,0.2,0.0004506700644458192,0.20909090909090908,0.5606060606060606,0.015151515151515152
17,36,QN,Astoria,364,0.2,0.0004971027377523581,0.8406593406593407,0.04120879120879121,0.01098901098901099
2,43,BK,Crown Heights,265,0.17,0.0003619017184186124,0.9169811320754717,0.011320754716981131,0.0037735849056603774
1,31,QN,Far Rockaway,105,0.06,0.00014339502050548792,0.8761904761904762,0.009523809523809525,0.02857142857142857
39,57,BK,Prospect Heights,222,0.2,0.0003031780433544602,0.9144144144144144,0.013513513513513514,0.0
53,46,BK,Coney Island,125,0.07,0.00017070835774462848,0.632,0.152,0.0
26,47,BK,Bensonhurst,192,0.12,0.00026220803749574934,0.5364583333333334,0.234375,0.015625
47,64,SI,Fort Wadsworth,148,0.14,0.00020211869556964013,0.3783783783783784,0.42567567567567566,0.02702702702702703
27,50,BK,Williamsburg,201,0.13,0.0002744990392533626,0.7810945273631841,0.03980099502487562,0.0
41,30,QN,Elmhurst,172,0.1,0.0002348947002566088,0.6046511627906976,0.11046511627906977,0.023255813953488372
9,42,BK,Prospect Park South,279,0.16,0.0003810210544860108,0.910394265232975,0.017921146953405017,0.007168458781362007
58,67,MN,Upper West Side,257,0.23,0.0003509763835229562,0.7509727626459144,0.08171206225680934,0.019455252918287938
27,59,BK,Flatlands,121,0.09,0.0001652456902968004,0.9173553719008265,0.024793388429752067,0.0
27,54,BK,Cypress Hills,20,0.01,2.7313337239140558e-05,0.6,0.2,0.0
39,55,BK,Brownsville,76,0.05,0.00010379068150873412,0.9078947368421053,0.013157894736842105,0.0
20,86,BX,University Heights,15,0.01,2.048500292935542e-05,0.9333333333333333,0.0,0.0
26,68,MN,East Harlem,110,0.11,0.00015022335481527308,0.8818181818181818,0.00909090909090909,0.0
51,59,BK,Marine Park,200,0.27,0.0002731333723914056,0.565,0.255,0.005
46,69,MN,Upper West Side,426,0.31,0.0005817740831936939,0.8591549295774648,0.03286384976525822,0.007042253521126761
3,28,QN,Forest Hills,370,0.25,0.0005052967389241003,0.8081081081081081,0.05675675675675676,0.005405405405405406
18,41,BK,Flatlands,158,0.15,0.00021577536418921042,0.8607594936708861,0.05063291139240506,0.006329113924050633
47,29,QN,Jamaica Estates,22,0.03,3.0044670963054613e-05,0.5909090909090909,0.18181818181818182,0.0
14,47,BK,Bath Beach,159,0.08,0.00021714103105116743,0.5408805031446541,0.18867924528301888,0.0
37,67,MN,Upper West Side,332,0.18,0.0004534013981697333,0.7740963855421686,0.06927710843373494,0.015060240963855422
50,39,QN,Corona,9,0.02,1.2291001757613252e-05,0.7777777777777778,0.0,0.0
55,52,BK,Boerum Hill,46,0.04,6.282067565002329e-05,0.8913043478260869,0.021739130434782608,0.0
43,27,QN,Whitestone,307,0.19,0.0004192597266208076,0.3811074918566775,0.39087947882736157,0.029315960912052116
56,53,BK,East Williamsburg,258,0.15,0.0003523420503849132,0.9031007751937985,0.01937984496124031,0.0
28,53,BK,Bushwick,232,0.14,0.00031683471197403045,0.9051724137931034,0.004310344827586207,0.008620689655172414
24,55,BK,Brownsville,28,0.02,3.823867213479678e-05,0.8928571428571429,0.03571428571428571,0.0
53,24,QN,Holliswood,153,0.08,0.00020894702987942529,0.8954248366013072,0.0457516339869281,0.006535947712418301
28,48,BK,Midwood,248,0.19,0.00033868538176534294,0.7056451612903226,0.1532258064516129,0.004032258064516129
31,44,BK,Windsor Terrace,635,0.36,0.0008671984573427128,0.8771653543307086,0.025196850393700787,0.0015748031496062992
43,40,QN,Flushing,149,0.13,0.00020348436243159716,0.5234899328859061,0.2483221476510067,0.026845637583892617
15,29,QN,Springfield Gardens,13,0.05,1.7753669205441364e-05,0.6923076923076923,0.07692307692307693,0.0
42,41,BK,Homecrest,144,0.1,0.00019665602812181203,0.4166666666666667,0.2986111111111111,0.013888888888888888
23,67,MN,Upper West Side,140,0.21,0.0001911933606739839,0.8214285714285714,0.02142857142857143,0.0
13,46,BK,Fort Hamilton,368,0.25,0.0005025654052001863,0.6005434782608695,0.22282608695652173,0.019021739130434784
36,37,QN,Sunnyside,433,0.25,0.0005913337512273931,0.7205542725173211,0.10854503464203233,0.009237875288683603
44,58,BK,East Flatbush,105,0.1,0.00014339502050548792,0.9142857142857143,0.01904761904761905,0.01904761904761905
16,59,BK,Canarsie,134,0.09,0.00018299935950224174,0.8656716417910447,0.05223880597014925,0.0
61,37,QN,Ridgewood,261,0.21,0.0003564390509707843,0.8850574712643678,0.03065134099616858,0.007662835249042145
17,45,BK,Homecrest,368,0.28,0.0005025654052001863,0.5597826086956522,0.2717391304347826,0.005434782608695652
41,32,QN,South Jamaica,50,0.06,6.82833430978514e-05,0.92,0.0,0.02
